Wall time,Step,Value
1735922263.3100924,50,0.2728999853134155
1735922277.8333123,100,0.2734000086784363
1735922292.3609304,150,0.2874999940395355
1735922306.944452,200,0.2583000063896179
1735922321.5058975,250,0.28279998898506165
1735922336.1423204,300,0.27970001101493835
1735922350.7353454,350,0.27970001101493835
1735922365.3540192,400,0.2653999924659729
1735922380.0292857,450,0.26989999413490295
1735922394.6506953,500,0.27219998836517334
1735922409.45011,550,0.2655999958515167
1735922424.1263306,600,0.2702000141143799
1735922438.6661148,650,0.2709999978542328
1735922453.2506385,700,0.2809999883174896
1735922467.8889525,750,0.29989999532699585
1735922482.5223033,800,0.26660001277923584
1735922497.1210406,850,0.2903999984264374
1735922511.8603916,900,0.28279998898506165
1735922526.5460227,950,0.27549999952316284
1735922541.392932,1000,0.287200003862381
1735922556.0923722,1050,0.2770000100135803
1735922570.8622217,1100,0.2849999964237213
1735922585.530684,1150,0.2935999929904938
1735922600.1411169,1200,0.287200003862381
1735922614.7680702,1250,0.29670000076293945
1735922629.3390138,1300,0.305400013923645
1735922644.1807358,1350,0.2985999882221222
1735922658.7647698,1400,0.28940001130104065
1735922673.3337727,1450,0.2906999886035919
1735922687.932711,1500,0.2831999957561493
1735922702.7752576,1550,0.29670000076293945
1735922717.459226,1600,0.289900004863739
1735922732.2796628,1650,0.2879999876022339
1735922746.902181,1700,0.2962999939918518
1735922761.6694877,1750,0.31130000948905945
1735922776.2735438,1800,0.29829999804496765
1735922790.8592222,1850,0.28279998898506165
1735922805.4393425,1900,0.29440000653266907
1735922820.2035704,1950,0.29179999232292175
1735922834.8942142,2000,0.28349998593330383
1735922849.4222705,2050,0.31360000371932983
1735922864.0089502,2100,0.2971999943256378
1735922878.6580698,2150,0.3093000054359436
1735922893.2382588,2200,0.28630000352859497
1735922907.887621,2250,0.2978000044822693
1735922922.5260596,2300,0.30140000581741333
1735922937.2618246,2350,0.31200000643730164
1735922951.9780242,2400,0.2854999899864197
1735922966.511865,2450,0.289900004863739
1735922981.0900135,2500,0.2759000062942505
1735922995.5859609,2550,0.3041999936103821
1735923010.149507,2600,0.2992999851703644
1735923024.7029645,2650,0.2808000147342682
1735923039.4690497,2700,0.2955999970436096
1735923054.3064952,2750,0.2888000011444092
1735923068.8882742,2800,0.30889999866485596
1735923151.8963346,2850,0.2791999876499176
1735923166.4152045,2900,0.20880000293254852
1735923181.0427563,2950,0.2070000022649765
1735923195.669628,3000,0.19820000231266022
1735923210.4267433,3050,0.2076999992132187
1735923225.1004477,3100,0.2003999948501587
1735923239.6993997,3150,0.19949999451637268
1735923254.2741506,3200,0.21170000731945038
1735923268.8130066,3250,0.19979999959468842
1735923283.406055,3300,0.2224999964237213
1735923298.1313577,3350,0.20270000398159027
1735923312.6833727,3400,0.19449999928474426
1735923327.3434994,3450,0.19509999454021454
1735923341.8969324,3500,0.2020999938249588
1735923356.486299,3550,0.19679999351501465
1735923371.0973668,3600,0.21649999916553497
1735923385.7568812,3650,0.20509999990463257
1735923400.3176577,3700,0.22339999675750732
1735923414.9303954,3750,0.2321999967098236
1735923429.6729987,3800,0.18410000205039978
1735923444.3124096,3850,0.20749999582767487
1735923458.9576788,3900,0.18970000743865967
